Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,21.0,42,2.00,24,16,1,1,0,1,0.05,0,1,0,0,0,0,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,27.0,49,1.81,37,2,3,3,4,3,0.11,1,1,0,0,1,0,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,21.6,43,1.99,30,0,6,5,2,9,0.42,4,0,3,1,1,0,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,8.1,13,1.61,10,0,1,0,2,3,0.37,2,0,0,0,1,0,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,2,0.21,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,15.6,48,3.08,27,0,9,8,4,6,0.39,4,0,1,1,0,0,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.4,2,1.42,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,22.4,11,0.49,6,0,1,3,1,1,0.04,1,0,0,0,0,0,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,29,1989,5.3,17,3.21,16,0,1,0,0,5,0.94,5,0,0,0,0,0,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,26.9,19,0.71,18,0,0,1,0,2,0.07,2,0,0,0,0,0,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,28.3,129,4.55,77,42,3,5,1,22,0.78,12,7,0,2,0,1,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,19.3,3,0.16,3,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,19.6,51,2.60,37,1,9,2,2,12,0.61,5,0,5,2,0,0,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,25,1994,26.4,58,2.19,40,0,7,4,7,1,0.04,1,0,0,0,0,0,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,9.5,31,3.25,24,3,1,2,1,4,0.42,3,0,0,0,1,0,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.1,30,2.28,22,0,5,2,1,1,0.08,0,0,0,0,1,0,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,1,0.12,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,15.7,56,3.56,43,2,5,3,3,8,0.51,7,0,1,0,0,0,Matches
19,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,0.8,1,1.27,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
20,Angeliño\Angelino,es ESP,DF,Manchester City,22,1997,4.7,14,2.99,13,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
21,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
22,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,29,1990,11.4,33,2.88,18,0,10,1,4,5,0.44,1,0,2,1,1,0,Matches
23,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,12.7,25,1.97,21,0,2,2,0,3,0.24,2,0,0,1,0,0,Matches
24,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,25.0,1,0.04,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
25,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,8.1,22,2.70,17,2,2,0,1,3,0.37,2,1,0,0,0,0,Matches
26,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,25.6,43,1.68,31,0,5,4,3,6,0.23,3,0,0,2,1,0,Matches
27,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,21.3,39,1.83,34,2,2,0,0,6,0.28,4,0,1,0,0,1,Matches
28,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,26.6,48,1.81,28,0,10,1,9,5,0.19,1,0,3,0,1,0,Matches
29,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,26.9,57,2.12,53,1,1,1,1,3,0.11,3,0,0,0,0,0,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,1.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,3.7,10,2.70,7,2,0,0,1,0,0.00,0,0,0,0,0,0,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,12.0,4,0.33,3,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
33,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,28.0,43,1.54,33,3,5,0,2,5,0.18,3,0,1,0,1,0,Matches
34,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,14.0,10,0.71,7,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
35,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,7.5,35,4.67,24,1,5,4,1,4,0.53,3,0,0,1,0,0,Matches
36,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,15.1,19,1.26,12,0,1,1,5,1,0.07,0,0,0,0,1,0,Matches
37,Harvey Barnes\Harvey-Barnes,eng ENG,MF,Leicester City,21,1997,19.1,66,3.46,49,0,8,4,5,13,0.68,10,0,2,1,0,0,Matches
38,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,27.1,17,0.63,14,0,2,0,1,1,0.04,1,0,0,0,0,0,Matches
39,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,2.5,7,2.80,5,0,1,1,0,3,1.20,2,0,0,1,0,0,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,27.0,7,0.26,6,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
42,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,6.9,6,0.87,5,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
43,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,6.7,5,0.75,4,1,0,0,0,1,0.15,0,1,0,0,0,0,Matches
44,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,3.0,6,2.00,5,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
45,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,10.2,32,3.13,23,0,5,2,2,6,0.59,5,0,1,0,0,0,Matches
46,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,4.5,13,2.92,10,2,0,1,0,1,0.22,1,0,0,0,0,0,Matches
47,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,2.3,2,0.86,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
48,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,21,1997,4.6,15,3.23,12,0,1,0,2,0,0.00,0,0,0,0,0,0,Matches
49,Bernard\Bernard,br BRA,MFFW,Everton,26,1992,11.4,40,3.52,33,0,5,1,1,5,0.44,3,0,2,0,0,0,Matches
50,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,6.0,7,1.16,6,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
51,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,22.5,48,2.14,32,13,0,0,3,1,0.04,0,1,0,0,0,0,Matches
52,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,2.7,3,1.10,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
53,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,24.1,38,1.58,30,2,2,3,1,4,0.17,4,0,0,0,0,0,Matches
54,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,7.4,8,1.08,7,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
55,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,28,1991,13.0,6,0.46,6,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
56,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,0.6,3,4.82,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
57,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,25,1993,8.4,36,4.27,21,0,8,1,6,3,0.36,2,0,1,0,0,0,Matches
58,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,22,1996,2.0,5,2.45,3,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
59,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,27,1992,4.4,10,2.27,7,1,0,1,1,2,0.45,2,0,0,0,0,0,Matches
60,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3.8,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
61,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,17,2001,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
62,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,23,1995,0.0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
63,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,22,1996,22.4,117,5.22,71,25,9,3,9,7,0.31,5,1,0,1,0,0,Matches
64,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,23.9,30,1.26,27,1,1,1,0,2,0.08,2,0,0,0,0,0,Matches
65,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,25,1993,14.4,19,1.32,14,0,1,3,1,0,0.00,0,0,0,0,0,0,Matches
66,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,4.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
67,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,33,1985,20.0,6,0.30,4,0,0,2,0,1,0.05,1,0,0,0,0,0,Matches
68,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,22,1997,21.2,48,2.26,31,0,1,3,12,3,0.14,2,0,0,0,0,1,Matches
69,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,25,1994,0.1,1,18.00,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
70,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,25,1994,8.7,21,2.42,18,1,1,0,1,1,0.12,1,0,0,0,0,0,Matches
71,Todd Cantwell\Todd-Cantwell,eng ENG,FW,Norwich City,21,1998,23.1,68,2.94,53,0,6,3,6,5,0.22,5,0,0,0,0,0,Matches
72,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,23.8,32,1.35,28,0,2,0,2,2,0.08,2,0,0,0,0,0,Matches
73,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,30,1989,5.6,15,2.66,15,0,0,0,0,5,0.89,5,0,0,0,0,0,Matches
74,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,25,1994,24.4,41,1.68,36,2,1,0,2,5,0.20,4,1,0,0,0,0,Matches
75,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,30,1989,26.2,5,0.19,5,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
76,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,22,1996,10.1,27,2.66,20,5,0,0,2,4,0.39,3,1,0,0,0,0,Matches
77,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,24,1994,8.6,13,1.50,12,1,0,0,0,2,0.23,2,0,0,0,0,0,Matches
78,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,24,1995,12.3,15,1.22,9,2,0,4,0,2,0.16,1,0,0,1,0,0,Matches
79,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,22,1996,22.9,51,2.23,42,7,1,1,0,7,0.31,7,0,0,0,0,0,Matches
80,Tahith Chong\Tahith-Chong,nl NED,FWMF,Manchester Utd,19,1999,0.4,2,5.29,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
81,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,21,1997,8.7,11,1.27,10,0,0,1,0,1,0.12,1,0,0,0,0,0,Matches
82,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,14.0,9,0.64,9,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
83,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,29,1989,13.2,1,0.08,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
84,Leon Clarke\Leon-Clarke,eng ENG,MF,Sheffield Utd,34,1985,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
85,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,29,1989,7.3,26,3.56,22,1,0,2,1,1,0.14,0,0,0,1,0,0,Matches
86,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,26,1993,29.0,13,0.45,13,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
87,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,30,1988,13.2,18,1.36,12,1,3,2,0,2,0.15,1,0,0,1,0,0,Matches
88,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,9.3,15,1.62,5,0,1,2,7,3,0.32,0,0,0,1,2,0,Matches
89,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,11.2,23,2.06,17,1,1,2,2,4,0.36,2,0,0,1,1,0,Matches
90,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,28,1991,20.5,5,0.24,4,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
91,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,30,1989,26.3,22,0.84,18,0,2,0,2,3,0.11,3,0,0,0,0,0,Matches
92,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,22.5,32,1.42,24,3,2,0,3,2,0.09,1,0,1,0,0,0,Matches
93,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,3.2,2,0.62,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
94,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,0.7,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
95,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,4,2.83,3,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
96,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,7.1,3,0.43,3,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches
97,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,20,1998,3.1,3,0.98,3,0,0,0,0,1,0.33,1,0,0,0,0,0,Matches
98,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,7.0,9,1.28,8,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
99,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,15.2,19,1.25,14,0,1,3,1,0,0.00,0,0,0,0,0,0,Matches
100,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,21,1998,1.4,6,4.19,4,0,0,2,0,1,0.70,0,0,0,1,0,0,Matches
101,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,17.2,3,0.17,2,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
102,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,24.0,163,6.80,114,31,9,3,6,27,1.13,20,1,2,1,3,0,Matches
103,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,16.7,31,1.85,27,0,0,2,2,5,0.30,4,0,0,0,1,0,Matches
104,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,13.2,17,1.29,16,0,0,1,0,2,0.15,2,0,0,0,0,0,Matches
105,Leander Dendoncker\Leander-Dendoncker,be BEL,DFMF,Wolves,24,1995,25.3,17,0.67,16,0,1,0,0,1,0.04,1,0,0,0,0,0,Matches
106,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,25,1994,23.4,88,3.76,51,10,14,7,6,7,0.30,5,0,1,0,1,0,Matches
107,Eric Dier\Eric-Dier,eng ENG,MFDF,Tottenham,25,1994,9.9,9,0.91,9,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches
108,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,24.9,82,3.29,44,32,2,2,2,7,0.28,5,2,0,0,0,0,Matches
109,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,29.0,16,0.55,14,0,0,1,1,3,0.10,3,0,0,0,0,0,Matches
110,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,21.7,4,0.18,1,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
111,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,10.3,39,3.79,19,0,11,1,8,6,0.58,3,0,2,0,1,0,Matches
112,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,23.9,46,1.93,33,0,5,6,2,10,0.42,3,0,3,3,1,0,Matches
113,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,27.2,70,2.57,55,0,7,5,3,4,0.15,3,0,0,1,0,0,Matches
114,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,4,1.37,3,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
115,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,0.7,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
116,Josip Drmić\Josip-Drmic,ch SUI,FWMF,Norwich City,26,1992,2.4,5,2.09,2,0,1,1,1,1,0.42,0,0,1,0,0,0,Matches
117,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,29.0,2,0.07,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
118,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,24,1994,6.5,20,3.10,12,6,0,2,0,2,0.31,1,0,0,1,0,0,Matches
119,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,11.9,5,0.42,4,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
120,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,13.7,6,0.44,5,0,0,0,1,1,0.07,1,0,0,0,0,0,Matches
121,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,27.0,22,0.81,20,2,0,0,0,3,0.11,3,0,0,0,0,0,Matches
122,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,24.1,2,0.08,2,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
123,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,26.9,6,0.22,3,0,0,3,0,1,0.04,0,0,0,1,0,0,Matches
