Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,21.0,0,0,0,3,5,2,67,35,28,0,0,1,174,9,12,42.9,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,27.0,6,0,0,21,38,1,56,21,24,1,0,0,212,14,33,29.8,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,21.6,2,0,0,16,21,20,10,4,8,1,0,1,82,57,94,37.7,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,8.1,0,0,0,13,6,7,8,2,1,1,0,0,52,18,56,24.3,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,1,0,0,0,1,0,0,0,0,0,0,0,47,0,0,,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,15.6,1,0,0,8,8,6,10,3,5,1,0,0,60,2,14,12.5,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.4,0,0,0,6,0,2,0,1,0,0,0,0,4,1,9,10.0,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,22.4,1,0,0,8,12,3,4,29,7,0,0,0,207,49,45,52.1,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,29,1989,5.3,1,0,0,6,8,1,39,5,6,0,1,0,63,2,2,50.0,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,26.9,4,0,0,16,4,1,8,23,20,0,0,1,280,61,47,56.5,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,28.3,4,0,0,20,8,1,308,36,20,0,0,0,289,13,29,31.0,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,19.3,0,1,0,1,1,0,0,1,0,0,0,0,102,0,0,,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,19.6,2,0,0,11,32,6,7,13,28,0,0,0,151,13,26,33.3,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,25,1994,26.4,5,0,0,24,50,20,33,26,25,0,0,0,181,8,30,21.1,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,9.5,3,0,0,9,8,2,31,14,12,1,0,0,120,25,21,54.3,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.1,1,0,0,17,18,3,9,13,23,0,0,0,137,14,11,56.0,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,1,0,0,8,2,0,1,17,7,0,1,0,75,15,14,51.7,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,15.7,1,0,0,16,22,2,35,21,30,0,0,0,125,4,21,16.0,Matches
19,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,0.8,0,1,0,2,3,0,0,0,2,0,0,0,7,2,3,40.0,Matches
20,Angeliño\Angelino,es ESP,DF,Manchester City,22,1997,4.7,1,0,0,2,2,0,42,9,5,0,0,0,49,8,8,50.0,Matches
21,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
22,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,29,1990,11.4,1,0,0,23,17,8,33,9,8,0,0,0,64,36,71,33.6,Matches
23,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,12.7,3,0,0,18,15,2,19,5,17,0,0,0,107,8,22,26.7,Matches
24,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,25.0,0,0,0,0,5,0,0,1,0,0,0,0,103,0,0,,Matches
25,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,8.1,2,0,0,11,10,4,16,2,9,0,0,0,49,7,12,36.8,Matches
26,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,25.6,3,1,0,14,13,15,70,8,19,0,0,0,93,21,46,31.3,Matches
27,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,21.3,3,1,1,29,10,4,97,31,43,0,2,1,237,46,47,49.5,Matches
28,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,26.6,5,0,0,43,75,8,18,10,19,0,0,0,163,53,140,27.5,Matches
29,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,26.9,0,0,0,31,9,3,81,49,49,0,0,0,285,73,46,61.3,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,1.1,0,0,0,1,0,0,0,2,0,0,0,0,15,5,1,83.3,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,3.7,0,0,0,1,3,0,26,5,6,0,0,0,25,6,5,54.5,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,12.0,2,0,0,6,1,0,1,24,11,0,0,0,126,46,26,63.9,Matches
33,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,28.0,6,0,0,35,32,8,91,30,39,1,0,0,226,26,40,39.4,Matches
34,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,14.0,4,0,0,27,10,0,23,17,25,0,0,0,125,19,17,52.8,Matches
35,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,7.5,0,0,0,5,5,0,7,6,7,0,0,0,61,8,7,53.3,Matches
36,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,15.1,4,0,0,35,40,13,5,6,4,1,0,0,65,42,86,32.8,Matches
37,Harvey Barnes\Harvey-Barnes,eng ENG,MF,Leicester City,21,1997,19.1,0,0,0,17,21,4,34,5,11,1,0,0,93,24,29,45.3,Matches
38,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,27.1,4,0,0,22,26,5,35,58,35,0,1,0,315,87,54,61.7,Matches
39,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,25.0,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,2.5,0,0,0,4,4,7,0,0,1,0,0,0,17,6,15,28.6,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,27.0,3,0,0,27,11,0,1,56,31,0,1,0,310,98,42,70.0,Matches
42,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,6.9,2,0,0,8,2,0,20,9,10,0,0,0,52,8,10,44.4,Matches
43,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,6.7,2,0,0,4,1,0,4,9,3,0,0,0,66,22,11,66.7,Matches
44,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,3.0,2,0,0,7,2,0,0,10,6,0,0,0,30,3,4,42.9,Matches
45,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,10.2,4,0,0,19,12,9,4,4,5,0,0,0,45,80,79,50.3,Matches
46,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,4.5,0,0,0,3,2,0,25,5,3,0,0,0,29,6,11,35.3,Matches
47,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,2.3,0,0,0,3,0,0,5,3,4,0,0,0,19,10,6,62.5,Matches
48,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,21,1997,4.6,1,0,0,4,7,0,2,2,3,1,0,0,39,4,4,50.0,Matches
49,Bernard\Bernard,br BRA,MFFW,Everton,26,1992,11.4,2,0,0,15,8,0,32,11,11,0,0,0,86,1,11,8.3,Matches
50,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,6.0,1,0,0,3,1,1,14,4,14,0,0,0,56,21,6,77.8,Matches
51,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,22.5,3,1,0,20,26,1,94,25,23,0,0,0,204,47,42,52.8,Matches
52,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,2.7,2,0,0,6,2,0,1,2,6,0,0,0,28,5,5,50.0,Matches
53,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,24.1,7,0,0,35,19,1,13,63,43,0,0,0,282,86,54,61.4,Matches
54,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,7.4,2,0,0,14,7,0,5,8,20,0,0,0,82,9,9,50.0,Matches
55,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,28,1991,13.0,3,1,1,16,4,1,2,25,26,0,0,0,108,44,16,73.3,Matches
56,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,0.6,0,0,0,0,1,0,5,0,0,0,0,0,4,0,3,0.0,Matches
57,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,25,1993,8.4,2,0,0,25,20,2,27,3,11,0,1,0,69,8,11,42.1,Matches
58,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,22,1996,2.0,0,0,0,2,4,0,6,5,5,0,0,0,15,0,6,0.0,Matches
59,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,27,1992,4.4,1,0,0,7,4,0,10,3,4,0,0,0,36,11,3,78.6,Matches
60,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3.8,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,,Matches
61,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,17,2001,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,Matches
62,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,23,1995,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
63,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,22,1996,22.4,4,0,0,26,47,2,137,19,49,0,0,0,184,18,40,31.0,Matches
64,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,23.9,4,0,0,23,12,3,39,33,33,0,0,0,243,97,35,73.5,Matches
65,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,25,1993,14.4,4,0,0,16,8,1,7,24,23,0,0,0,152,42,30,58.3,Matches
66,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,4.0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,,Matches
67,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,33,1985,20.0,1,0,0,13,10,0,0,14,9,0,0,0,182,68,37,64.8,Matches
68,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,22,1997,21.2,7,0,0,40,36,8,15,4,10,0,0,0,81,126,146,46.3,Matches
69,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,25,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
70,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,25,1994,8.7,2,0,0,11,6,0,27,16,17,0,0,0,91,15,13,53.6,Matches
71,Todd Cantwell\Todd-Cantwell,eng ENG,FW,Norwich City,21,1998,23.1,4,0,0,23,55,3,21,14,27,0,1,0,149,13,35,27.1,Matches
72,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,23.8,7,0,0,47,32,0,12,56,49,0,0,0,332,38,12,76.0,Matches
73,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,30,1989,5.6,1,0,0,11,14,4,5,1,1,0,0,0,33,67,51,56.8,Matches
74,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,25,1994,24.4,4,0,0,28,20,2,43,45,46,0,0,0,182,34,45,43.0,Matches
75,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,30,1989,26.2,6,0,0,11,2,0,1,18,25,0,0,0,230,64,40,61.5,Matches
76,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,22,1996,10.1,0,0,0,11,23,0,39,12,16,0,0,0,109,5,14,26.3,Matches
77,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,24,1994,8.6,1,0,0,4,7,0,16,12,14,0,0,0,102,10,9,52.6,Matches
78,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,24,1995,12.3,5,0,0,18,4,0,34,15,18,0,1,0,123,37,27,57.8,Matches
79,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,22,1996,22.9,2,0,0,26,28,0,86,25,22,0,0,0,196,55,17,76.4,Matches
80,Tahith Chong\Tahith-Chong,nl NED,FWMF,Manchester Utd,19,1999,0.4,0,0,0,2,1,0,0,0,0,0,0,0,2,0,2,0.0,Matches
81,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,21,1997,8.7,4,1,1,11,7,0,3,26,13,0,0,0,99,10,7,58.8,Matches
82,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,14.0,5,0,0,12,9,0,0,21,19,0,0,0,124,48,23,67.6,Matches
83,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,29,1989,13.2,3,0,0,9,7,0,0,13,12,0,0,0,100,31,31,50.0,Matches
84,Leon Clarke\Leon-Clarke,eng ENG,MF,Sheffield Utd,34,1985,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
85,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,29,1989,7.3,0,0,0,8,3,0,16,6,9,0,0,0,65,5,9,35.7,Matches
86,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,26,1993,29.0,3,0,0,10,6,0,0,18,21,0,1,0,287,31,16,66.0,Matches
87,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,30,1988,13.2,5,1,1,12,12,1,36,18,18,0,0,0,148,18,17,51.4,Matches
88,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,9.3,0,0,0,11,29,10,8,0,4,1,0,0,33,13,25,34.2,Matches
89,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,11.2,3,0,0,12,9,0,9,19,10,0,0,0,132,11,11,50.0,Matches
90,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,28,1991,20.5,4,1,0,12,12,1,2,35,8,0,1,0,215,82,46,64.1,Matches
91,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,30,1989,26.3,1,0,0,29,23,1,6,24,25,0,0,0,310,48,56,46.2,Matches
92,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,22.5,7,0,0,15,13,1,98,26,24,0,0,0,223,37,22,62.7,Matches
93,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,3.2,0,0,0,5,9,4,6,2,4,0,0,0,25,5,21,19.2,Matches
94,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,0.7,0,0,0,1,0,0,3,2,2,0,0,0,8,4,0,100.0,Matches
95,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,0,0,0,0,0,0,5,1,0,0,0,0,9,2,1,66.7,Matches
96,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,7.1,0,0,0,2,0,0,0,7,1,0,0,0,77,21,14,60.0,Matches
97,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,20,1998,3.1,2,1,1,4,2,0,4,3,4,0,0,0,28,11,10,52.4,Matches
98,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,7.0,2,0,0,11,6,1,15,10,6,0,0,0,66,19,10,65.5,Matches
99,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,15.2,7,0,0,23,27,1,7,26,12,0,0,0,185,21,26,44.7,Matches
100,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,21,1998,1.4,0,0,0,2,1,1,0,0,1,0,0,0,11,3,8,27.3,Matches
101,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,17.2,4,0,0,18,6,0,4,22,11,0,0,0,156,60,18,76.9,Matches
102,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,24.0,2,0,0,23,19,1,244,13,19,0,0,0,197,12,18,40.0,Matches
103,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,16.7,3,0,0,22,22,9,5,10,13,1,0,0,82,126,205,38.1,Matches
104,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,13.2,5,1,1,18,7,0,8,16,11,0,0,0,175,12,10,54.5,Matches
105,Leander Dendoncker\Leander-Dendoncker,be BEL,DFMF,Wolves,24,1995,25.3,4,0,0,22,7,0,8,34,35,0,1,1,254,73,57,56.2,Matches
106,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,25,1994,23.4,3,0,0,27,22,18,91,24,21,1,0,0,164,3,15,16.7,Matches
107,Eric Dier\Eric-Dier,eng ENG,MFDF,Tottenham,25,1994,9.9,4,0,0,11,1,1,3,9,13,0,0,0,105,47,23,67.1,Matches
108,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,24.9,2,0,0,25,17,3,218,35,25,0,0,1,262,78,36,68.4,Matches
109,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,29.0,1,0,0,10,21,1,0,26,19,0,0,0,369,138,33,80.7,Matches
110,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,21.7,8,0,0,23,9,1,1,37,14,0,2,0,222,64,24,72.7,Matches
111,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,10.3,4,1,0,23,30,3,23,10,18,0,0,0,55,5,14,26.3,Matches
112,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,23.9,1,0,0,17,13,2,34,32,21,1,0,0,200,81,68,54.4,Matches
113,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,27.2,8,0,0,41,10,4,18,25,44,0,1,1,351,39,39,50.0,Matches
114,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,1,0,0,7,1,0,1,5,5,0,0,0,46,2,2,50.0,Matches
115,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,0.7,0,0,0,1,0,0,0,1,2,0,0,0,8,0,1,0.0,Matches
116,Josip Drmić\Josip-Drmic,ch SUI,FWMF,Norwich City,26,1992,2.4,0,0,0,2,3,3,1,0,2,0,0,0,19,3,14,17.6,Matches
117,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,29.0,0,0,0,0,4,0,0,1,0,0,0,0,135,0,0,,Matches
118,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,24,1994,6.5,0,0,0,8,8,1,35,5,12,0,0,0,58,7,19,26.9,Matches
119,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,11.9,1,0,0,13,9,0,1,20,8,0,0,0,123,59,14,80.8,Matches
120,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,13.7,2,0,0,4,6,0,15,19,6,0,0,1,121,35,23,60.3,Matches
121,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,27.0,9,0,0,16,15,0,1,43,23,0,0,0,342,67,35,65.7,Matches
122,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,24.1,3,1,0,2,2,0,0,2,1,0,0,0,107,0,0,,Matches
123,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,26.9,2,0,0,27,13,1,2,42,23,0,1,0,275,98,42,70.0,Matches
