Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
370,Matt Ritchie\Matt-Ritchie,sco SCO,DFMF,Newcastle Utd,29,1989,7.9,3,0,0,18,6,0,58,10,10,0,0,0,57,11,10,52.4,Matches
371,Roberto\Roberto,es ESP,GK,West Ham,33,1986,7.6,0,0,0,0,1,0,0,0,0,0,0,1,51,0,0,,Matches
372,Patrick Roberts\Patrick-Roberts,eng ENG,MFFW,Norwich City,22,1997,0.3,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,,Matches
373,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,25,1994,27.2,1,0,0,15,9,2,142,31,29,0,0,0,279,20,23,46.5,Matches
374,Callum Robinson\Callum-Robinson,ie IRL,FW,Sheffield Utd,24,1995,7.5,1,0,0,11,4,1,15,5,4,0,0,0,32,3,21,12.5,Matches
375,Rodri\Rodri,es ESP,MFDF,Manchester City,23,1996,21.7,7,0,0,34,24,0,7,24,38,0,0,0,286,57,25,69.5,Matches
376,Jay Rodriguez\Jay-Rodriguez,eng ENG,FW,Burnley,30,1989,15.3,1,0,0,15,10,12,9,5,14,0,0,0,85,52,99,34.4,Matches
377,Marcos Rojo\Marcos-Rojo,ar ARG,DF,Manchester Utd,29,1990,1.3,1,0,0,2,1,0,3,0,1,0,0,0,7,3,1,75.0,Matches
378,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,27,1991,14.5,3,0,0,25,12,1,3,21,31,0,0,0,215,30,23,56.6,Matches
379,Danny Rose\Danny-Rose,eng ENG,DF,Newcastle Utd,29,1990,3.9,1,0,0,4,4,0,4,3,5,0,0,0,41,4,6,40.0,Matches
380,Danny Rose\Danny-Rose,eng ENG,DF,Tottenham,29,1990,9.9,5,0,0,14,17,0,39,7,13,0,0,0,93,9,6,60.0,Matches
381,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,26,1993,12.5,3,0,0,12,4,0,5,6,16,0,0,1,155,41,16,71.9,Matches
382,Lukas Rupp\Lukas-Rupp,de GER,FW,Norwich City,28,1991,3.8,0,0,0,5,2,0,2,8,1,0,0,0,34,4,15,21.1,Matches
383,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,29.0,0,0,0,0,2,0,0,1,0,0,0,0,142,0,0,,Matches
384,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,MFFW,Newcastle Utd,22,1997,14.2,0,0,0,12,27,2,33,8,5,0,0,0,100,5,12,29.4,Matches
385,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,29,1990,22.1,10,1,1,34,19,2,7,34,22,0,0,0,262,87,40,68.5,Matches
386,Bukayo Saka\Bukayo-Saka,eng ENG,DFFW,Arsenal,17,2001,13.0,4,0,0,15,17,3,47,7,18,0,0,0,96,10,27,27.0,Matches
387,Mamadou Sakho\Mamadou-Sakho,fr FRA,DFMF,Crystal Palace,29,1990,5.2,0,1,0,1,1,0,0,12,3,0,0,0,53,12,10,54.5,Matches
388,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,27,1992,25.0,1,0,0,14,15,17,39,7,11,1,0,0,138,10,42,19.2,Matches
389,Mbwana Samatta\Mbwana-Samatta,tz TAN,FW,Aston Villa,26,1992,3.9,0,0,0,1,4,4,0,0,2,0,0,0,18,13,26,33.3,Matches
390,Carlos Sánchez\Carlos-Sanchez,co COL,MFDF,West Ham,33,1986,1.3,0,0,0,2,0,0,0,2,1,0,0,0,22,3,1,75.0,Matches
391,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,23,1996,21.0,5,0,0,18,9,1,1,29,32,0,0,0,210,43,22,66.2,Matches
392,Ismaila Sarr\Ismaila-Sarr,sn SEN,FWMF,Watford,21,1998,13.6,1,0,0,12,27,8,56,9,14,1,0,0,99,13,30,30.2,Matches
393,Fabian Schär\Fabian-Schar,ch SUI,DF,Newcastle Utd,27,1991,15.5,4,0,0,23,19,1,10,42,27,0,0,0,143,31,22,58.5,Matches
394,Ezequiel Schelotto\Ezequiel-Schelotto,it ITA,DF,Brighton,30,1989,3.2,2,0,0,6,3,1,13,6,4,0,0,0,26,8,2,80.0,Matches
395,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MFDF,Crystal Palace,26,1992,9.5,2,0,0,14,11,1,7,10,6,0,0,0,64,13,11,54.2,Matches
396,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,32,1986,29.0,2,0,0,0,6,0,0,0,0,0,0,0,143,0,0,,Matches
397,Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,Everton,29,1989,11.1,6,1,1,18,2,0,8,21,19,0,0,0,127,18,11,62.1,Matches
398,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,DF,Tottenham,19,2000,3.8,0,0,0,4,2,2,13,1,0,0,1,0,28,6,5,54.5,Matches
399,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,FW,Liverpool,27,1991,1.9,0,0,0,1,3,1,5,0,0,0,0,0,16,2,4,33.3,Matches
400,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,33,1986,7.4,1,1,0,14,17,6,7,1,4,0,0,0,36,9,33,21.4,Matches
401,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,24,1995,13.7,5,0,0,17,6,2,25,16,21,0,0,0,157,23,16,59.0,Matches
402,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,27,1992,14.9,2,0,0,9,5,1,53,19,10,0,0,0,164,11,9,55.0,Matches
403,Djibril Sidibé\Djibril-Sidibe,fr FRA,DF,Everton,27,1992,18.2,3,0,0,23,18,2,64,39,39,0,0,0,196,26,30,46.4,Matches
404,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,29,1989,22.2,3,0,0,28,16,2,117,24,39,0,0,0,194,16,23,41.0,Matches
405,Bernardo Silva\Bernardo-Silva,pt POR,FWMF,Manchester City,24,1994,16.6,5,0,0,18,16,2,57,18,20,0,1,0,139,11,21,34.4,Matches
406,David Silva\David-Silva,es ESP,MF,Manchester City,33,1986,14.0,0,0,0,15,12,3,28,7,10,0,0,0,116,4,12,25.0,Matches
407,Jack Simpson\Jack-Simpson,eng ENG,DF,Bournemouth,22,1997,2.6,0,0,0,1,1,0,0,2,2,0,0,0,22,4,2,66.7,Matches
408,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,29,1989,18.8,6,0,0,32,10,2,21,14,23,0,1,0,218,27,17,61.4,Matches
409,Oliver Skipp\Oliver-Skipp,eng ENG,MFDF,Tottenham,18,2000,0.6,0,0,0,1,0,0,0,0,1,0,0,0,9,0,2,0.0,Matches
410,William Smallbone\William-Smallbone,ie IRL,MF,Southampton,19,2000,1.8,0,0,0,0,2,0,1,1,2,0,0,0,22,2,8,20.0,Matches
411,Adam Smith\Adam-Smith,eng ENG,DF,Bournemouth,28,1991,17.3,6,0,0,22,30,2,21,20,24,0,1,0,144,27,23,54.0,Matches
412,Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MF,Arsenal,19,2000,1.1,0,0,0,0,1,0,1,1,1,0,0,0,4,0,0,,Matches
413,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Ham,31,1987,16.8,4,0,0,20,32,4,135,5,10,0,0,0,129,16,24,40.0,Matches
414,Cédric Soares\Cedric-Soares,pt POR,DF,Southampton,27,1991,14.5,1,0,0,10,3,0,52,18,24,0,0,0,124,20,22,47.6,Matches
415,Dominic Solanke\Dominic-Solanke,eng ENG,FWMF,Bournemouth,21,1997,13.1,1,0,0,9,17,3,4,6,10,0,0,0,87,39,69,36.1,Matches
416,Tomáš Souček\Tomas-Soucek,cz CZE,MF,West Ham,24,1995,2.6,0,0,0,3,2,0,0,8,5,0,0,0,28,13,14,48.1,Matches
417,Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,23,1996,28.0,4,0,0,24,18,1,4,35,38,0,2,0,287,99,45,68.8,Matches
418,Dennis Srbeny\Dennis-Srbeny,de GER,MFFW,Norwich City,25,1994,0.4,0,0,0,1,0,0,0,0,4,0,0,0,5,1,5,16.7,Matches
419,Jack Stacey\Jack-Stacey,eng ENG,DF,Bournemouth,23,1996,11.9,2,0,0,6,7,1,21,15,9,0,0,0,122,15,11,57.7,Matches
420,Junior Stanislas\Junior-Stanislas,eng ENG,MFFW,Bournemouth,29,1989,2.5,0,0,0,2,0,1,6,2,2,0,0,0,20,4,4,50.0,Matches
421,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,26,1992,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
422,Dale Stephens\Dale-Stephens,eng ENG,MF,Brighton,30,1989,21.6,6,0,0,33,6,0,4,45,30,0,0,0,248,16,19,45.7,Matches
423,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,25,1994,20.3,2,0,0,10,9,0,3,21,26,0,1,0,253,33,49,40.2,Matches
424,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,24,1994,22.5,5,0,0,26,31,10,49,10,21,1,0,0,125,17,27,38.6,Matches
425,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,29,1990,27.2,5,0,0,31,14,2,91,31,35,0,0,0,255,24,17,58.5,Matches
426,Marco Stiepermann\Marco-Stiepermann,de GER,MF,Norwich City,28,1991,10.4,4,0,0,19,13,0,4,5,6,0,0,0,57,11,49,18.3,Matches
427,John Stones\John-Stones,eng ENG,DF,Manchester City,25,1994,10.1,0,0,0,4,1,1,0,8,12,0,0,0,123,32,16,66.7,Matches
428,Isaac Success\Isaac-Success,ng NGA,FWMF,Watford,23,1996,0.7,1,0,0,2,2,0,2,1,0,0,0,0,5,1,7,12.5,Matches
429,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Newcastle Utd,30,1989,1.5,0,0,0,1,3,0,4,2,1,0,0,0,14,2,0,100.0,Matches
430,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,32,1986,2.6,1,0,0,1,1,0,3,1,2,0,0,0,40,4,8,33.3,Matches
431,Sam Surridge\Sam-Surridge,eng ENG,FW,Bournemouth,21,1998,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,20.0,Matches
432,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,20,1999,5.8,1,0,0,8,4,0,2,11,15,0,0,0,50,19,10,65.5,Matches
433,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,23,1995,18.8,3,0,0,19,13,0,71,46,25,0,0,0,186,18,27,40.0,Matches
434,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,26,1992,29.0,8,0,0,37,27,2,4,47,43,0,0,0,332,160,38,80.8,Matches
435,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,25,1993,15.3,3,0,0,15,21,1,67,24,13,0,0,0,166,40,24,62.5,Matches
436,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,30,1989,8.8,2,0,0,6,5,0,8,9,6,0,0,0,70,7,12,36.8,Matches
437,Alexander Tettey\Alexander-Tettey,no NOR,MFDF,Norwich City,33,1986,19.9,4,0,0,18,5,0,4,35,13,0,0,0,266,33,14,70.2,Matches
438,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,22,1997,23.9,1,0,0,28,32,1,47,24,20,0,0,0,216,24,23,51.1,Matches
439,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,22,1997,3.3,1,0,0,4,2,0,21,3,4,0,1,0,32,3,5,37.5,Matches
440,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,30,1989,17.6,5,0,0,13,11,1,1,23,14,0,0,0,165,75,22,77.3,Matches
441,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,21,1997,14.4,3,0,0,7,6,1,4,20,15,0,0,0,145,40,22,64.5,Matches
442,Lucas Torreira\Lucas-Torreira,uy URU,MF,Arsenal,23,1996,15.2,4,0,0,18,42,1,12,28,24,0,0,0,192,8,16,33.3,Matches
443,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,28,1991,3.2,0,0,0,4,4,1,2,0,0,0,0,0,12,7,15,31.8,Matches
444,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Crystal Palace,28,1991,2.0,0,0,0,4,4,1,2,0,2,0,0,0,9,5,16,23.8,Matches
445,Andros Townsend\Andros-Townsend,eng ENG,MF,Crystal Palace,28,1991,8.8,0,0,0,5,12,0,36,10,9,0,0,0,71,1,8,11.1,Matches
446,Adama Traoré\Adama-Traore,es ESP,FWDF,Wolves,23,1996,23.0,0,0,0,31,63,3,143,17,22,0,0,0,136,37,42,46.8,Matches
447,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,20,1999,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Matches
448,Trézéguet\Trezeguet,eg EGY,FWMF,Aston Villa,24,1994,14.7,4,1,1,23,24,3,53,17,18,1,0,0,64,17,34,33.3,Matches
449,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,24,1994,16.0,0,0,0,9,7,2,63,6,11,0,0,0,108,2,18,10.0,Matches
450,Tom Trybull\Tom-Trybull,de GER,MF,Norwich City,26,1993,11.4,2,0,0,25,9,2,0,13,29,0,0,0,118,22,17,56.4,Matches
451,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,21,1997,2.1,0,0,0,3,3,0,1,5,3,0,0,0,26,3,10,23.1,Matches
452,Yan Valery\Yan-Valery,fr FRA,DF,Southampton,20,1999,7.2,1,0,0,4,7,3,12,9,12,0,0,0,66,16,18,47.1,Matches
453,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Wolves,22,1997,1.8,1,0,0,2,1,0,0,1,3,0,0,0,18,4,4,50.0,Matches
454,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,32,1987,24.7,2,0,0,15,8,19,24,2,8,1,0,0,54,37,75,33.0,Matches
455,Indiana Vassilev\Indiana-Vassilev,us USA,FW,Aston Villa,18,2001,0.4,0,0,0,0,0,2,0,0,1,0,0,0,2,0,2,0.0,Matches
456,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,Tottenham,32,1987,17.2,2,0,0,6,16,0,16,29,20,0,1,0,184,52,23,69.3,Matches
457,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,26,1992,12.6,2,0,0,6,6,0,1,15,10,0,0,0,131,44,18,71.0,Matches
458,Rúben Vinagre\Ruben-Vinagre,pt POR,DF,Wolves,20,1999,5.9,1,0,0,6,8,0,27,6,12,0,0,0,51,4,6,40.0,Matches
459,Mario Vrančić\Mario-Vrancic,ba BIH,MF,Norwich City,30,1989,4.2,2,0,0,7,9,0,2,6,9,0,0,0,54,4,7,36.4,Matches
460,Matěj Vydra\Matej-Vydra,cz CZE,FW,Burnley,27,1992,3.7,0,0,0,0,3,1,1,0,0,0,0,0,15,6,18,25.0,Matches
461,Theo Walcott\Theo-Walcott,eng ENG,MFFW,Everton,30,1989,11.9,1,0,0,9,16,9,34,6,7,0,0,0,77,5,16,23.8,Matches
462,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,29,1990,20.1,4,0,0,22,12,3,43,21,16,0,0,0,203,25,31,44.6,Matches
463,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Tottenham,22,1997,2.7,0,0,0,1,5,1,8,2,3,0,0,0,27,2,4,33.3,Matches
464,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Southampton,22,1997,0.8,0,0,0,0,1,0,2,1,0,0,0,0,8,1,0,100.0,Matches
465,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,21,1997,25.9,5,0,0,14,15,1,74,51,49,0,1,0,240,20,19,51.3,Matches
466,Victor Wanyama\Victor-Wanyama,ke KEN,MF,Tottenham,28,1991,0.3,1,0,0,1,1,0,0,0,0,0,0,0,4,1,0,100.0,Matches
467,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,29,1989,17.5,3,0,0,14,23,0,19,35,20,0,0,0,185,29,19,60.4,Matches
468,James Ward-Prowse\James-Ward-Prowse,eng ENG,MFDF,Southampton,24,1994,29.0,7,0,0,43,31,0,193,34,44,0,0,0,377,60,39,60.6,Matches
469,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,24,1995,22.4,3,0,0,8,11,0,6,36,19,0,2,1,276,95,39,70.9,Matches
470,Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Watford,28,1990,3.1,0,0,0,3,3,0,0,0,5,0,0,0,12,7,14,33.3,Matches
471,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,29,1990,26.0,9,0,0,31,24,1,111,23,24,0,0,0,329,15,22,40.5,Matches
472,Connor Wickham\Connor-Wickham,eng ENG,FWMF,Crystal Palace,26,1993,1.0,0,0,0,4,0,1,0,0,2,0,0,0,8,10,7,58.8,Matches
473,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,28,1990,25.9,0,0,0,11,24,1,3,15,23,0,0,0,246,32,45,41.6,Matches
474,Jetro Willems\Jetro-Willems,nl NED,DF,Newcastle Utd,25,1994,16.6,0,0,0,10,17,1,32,16,19,0,0,0,138,19,14,57.6,Matches
475,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,18,2000,8.4,5,0,0,12,12,1,10,7,2,1,0,0,76,9,8,52.9,Matches
476,Willian\Willian,br BRA,FW,Chelsea,30,1988,21.4,3,0,0,12,39,4,115,18,24,1,0,0,159,6,20,23.1,Matches
477,Joe Willock\Joe-Willock,eng ENG,MF,Arsenal,19,1999,6.4,1,0,0,7,10,0,4,1,10,0,0,0,77,7,12,36.8,Matches
478,Jack Wilshere\Jack-Wilshere,eng ENG,MF,West Ham,27,1992,1.9,0,0,0,0,5,0,0,0,0,0,0,0,17,5,0,100.0,Matches
479,Callum Wilson\Callum-Wilson,eng ENG,FW,Bournemouth,27,1992,26.1,9,0,0,45,26,25,14,3,10,1,0,0,105,34,124,21.5,Matches
480,Harry Wilson\Harry-Wilson,wal WAL,MFFW,Bournemouth,22,1997,16.1,1,0,0,7,32,1,23,9,10,0,1,0,124,6,14,30.0,Matches
481,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,23,1996,17.7,8,0,0,15,20,0,24,23,20,0,0,0,160,9,9,50.0,Matches
482,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,27,1991,23.0,1,0,0,25,24,30,8,3,6,0,0,1,71,98,157,38.4,Matches
483,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,26,1992,21.2,7,0,0,46,27,0,13,15,20,0,1,0,244,38,37,50.7,Matches
484,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,MF,West Ham,29,1989,9.2,2,0,0,14,8,8,13,4,8,0,0,0,52,2,11,15.4,Matches
485,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,26,1993,8.6,3,0,0,8,9,2,26,5,12,0,0,0,55,6,12,33.3,Matches
486,Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,30,1988,6.2,1,0,0,3,5,0,0,3,5,0,0,0,53,14,8,63.6,Matches
487,Ashley Young\Ashley-Young,eng ENG,DF,Manchester Utd,34,1985,10.6,5,0,0,14,16,0,62,10,4,0,0,0,95,15,9,62.5,Matches
488,Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DF,West Ham,34,1985,6.5,2,0,0,7,9,0,15,13,10,0,0,0,62,8,9,47.1,Matches
489,Wilfried Zaha\Wilfried-Zaha,ci CIV,MFFW,Crystal Palace,26,1992,28.3,4,0,0,40,93,15,54,14,25,1,0,0,190,10,24,29.4,Matches
490,Christoph Zimmermann\Christoph-Zimmermann,de GER,DF,Norwich City,26,1993,14.4,2,0,0,8,8,0,0,16,19,0,2,0,139,36,10,78.3,Matches
491,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,22,1996,10.1,2,1,1,11,1,0,31,11,12,0,0,0,110,18,14,56.3,Matches
492,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,24,1994,20.0,5,0,0,26,12,1,0,40,14,0,1,1,240,76,22,77.6,Matches