Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
123,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,26.9,925,903,22,18,0,156,41,2,0,0,0,0,603,122,200,114,684,83,4,3,784,2,25,2,5,Matches
124,Harvey Elliot\Harvey-Elliot,eng ENG,FW,Liverpool,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
125,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,31,1987,8.5,467,394,73,5,0,83,9,42,0,0,0,0,230,98,139,5,363,21,68,0,349,3,5,15,13,Matches
126,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,24,1994,16.1,605,586,19,17,0,91,29,2,0,0,0,0,399,68,138,53,491,31,2,1,503,2,9,5,4,Matches
127,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,27,1992,12.1,743,659,84,26,4,119,35,72,46,18,16,5,468,111,164,173,532,23,10,2,549,4,9,18,19,Matches
128,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,28.6,1716,1661,55,50,1,223,41,4,0,0,0,0,1303,155,258,401,1198,76,5,4,1519,2,32,7,7,Matches
129,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,14.5,413,255,158,40,0,37,7,0,0,0,0,0,60,22,331,13,310,0,0,56,220,4,9,1,2,Matches
130,Fabinho\Fabinho,br BRA,MF,Liverpool,25,1993,16.0,1058,1039,19,12,4,197,29,8,0,0,0,0,698,160,200,69,921,43,4,0,914,2,12,7,13,Matches
131,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,0.2,10,7,3,0,0,0,0,0,0,0,0,0,6,1,3,2,6,0,0,2,7,0,1,0,0,Matches
132,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,28,1991,17.0,857,682,175,14,0,115,14,42,2,1,1,0,486,198,173,97,555,33,159,3,676,1,15,26,17,Matches
133,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,24,1994,5.0,294,254,40,15,2,58,17,25,18,7,6,1,164,59,71,25,263,1,2,2,212,0,5,9,8,Matches
134,Gedson Fernandes\Gedson-Fernandes,pt POR,MFDF,Tottenham,20,1999,0.4,32,28,4,1,0,7,0,3,0,0,0,0,20,8,4,1,27,1,3,0,25,0,1,0,1,Matches
135,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,30,1989,20.1,815,694,121,30,1,132,24,25,0,0,0,0,451,117,247,40,618,42,90,0,601,4,24,16,21,Matches
136,Fernandinho\Fernandinho,br BRA,DF,Manchester City,34,1985,22.2,1784,1738,46,34,1,212,59,3,0,0,0,0,1393,157,234,203,1463,71,12,6,1620,4,21,9,16,Matches
137,Roberto Firmino\Roberto-Firmino,br BRA,FWMF,Liverpool,27,1991,26.9,952,932,20,2,7,269,8,7,0,0,0,0,713,166,73,126,751,46,10,7,756,3,5,43,50,Matches
138,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,27,1991,24.3,1027,908,119,27,2,210,56,131,67,41,10,5,593,197,237,869,85,52,6,7,754,8,18,19,46,Matches
139,Phil Foden\Phil-Foden,eng ENG,MFFW,Manchester City,19,2000,3.9,207,201,6,2,1,28,3,6,2,0,1,0,169,20,18,188,13,3,2,0,182,0,2,1,4,Matches
140,Pablo Fornals\Pablo-Fornals,es ESP,MF,West Ham,23,1996,16.3,608,580,28,8,4,159,21,48,17,3,9,3,399,114,95,70,511,15,2,5,464,0,9,12,41,Matches
141,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,29.0,939,573,366,133,0,83,40,0,0,0,0,0,130,39,770,610,134,0,1,90,399,11,26,6,3,Matches
142,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFDF,Watford,26,1993,0.6,13,12,1,0,0,5,0,1,0,0,0,0,7,4,2,2,10,0,1,0,10,0,1,0,1,Matches
143,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,21,1998,0.7,60,52,8,1,0,12,3,0,0,0,0,0,44,8,8,6,46,0,7,0,53,1,1,1,0,Matches
144,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,34,1985,10.7,545,505,40,11,1,123,18,16,0,0,0,0,272,127,146,48,403,34,29,2,425,0,10,9,7,Matches
145,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,25,1994,22.9,950,818,132,35,9,206,29,173,64,25,20,8,516,180,254,195,697,27,19,5,648,4,18,18,38,Matches
146,Fred\Fred,br BRA,MF,Manchester Utd,26,1993,22.5,1574,1474,100,48,3,337,79,62,42,15,16,0,1132,205,237,1103,430,24,7,5,1335,2,18,20,37,Matches
147,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,26,1992,18.8,803,651,152,4,0,137,3,46,0,0,0,0,416,137,250,67,528,49,148,2,577,3,11,10,33,Matches
148,Luke Freeman\Luke-Freeman,eng ENG,MF,Sheffield Utd,27,1992,3.6,133,126,7,0,0,35,2,15,7,4,1,0,85,24,24,111,16,3,0,0,99,0,6,2,11,Matches
149,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,33,1986,7.0,509,436,73,11,1,65,13,11,0,0,0,0,314,106,89,364,50,22,62,1,416,1,11,9,10,Matches
150,Eric García\Eric-Garcia,es ESP,DF,Manchester City,18,2001,3.0,251,250,1,1,0,21,8,0,0,0,0,0,230,11,10,24,223,2,0,1,240,0,1,0,1,Matches
151,James Garner\James-Garner,eng ENG,MF,Manchester Utd,18,2001,0.1,15,15,0,0,0,6,1,0,0,0,0,0,15,0,0,2,12,0,0,1,15,0,0,0,0,Matches
152,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,28,1990,4.2,68,61,7,1,1,24,4,3,0,0,0,0,34,17,17,6,43,6,1,1,49,1,2,0,2,Matches
153,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,17.9,516,350,166,26,1,63,10,0,0,0,0,0,223,15,278,21,393,0,0,58,319,2,14,0,2,Matches
154,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Everton,23,1995,1.5,67,64,3,3,0,9,3,0,0,0,0,0,46,7,14,7,55,4,0,0,50,0,6,0,5,Matches
155,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,29.0,716,459,257,63,0,88,19,0,0,0,0,0,402,60,254,35,531,0,1,121,540,1,15,1,5,Matches
156,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FWMF,Aston Villa,24,1995,18.7,510,474,36,3,0,137,27,87,17,7,5,0,285,107,118,82,375,22,11,2,339,3,26,9,33,Matches
157,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MFFW,Wolves,19,2000,1.4,77,75,2,1,1,17,0,3,0,0,0,0,44,17,16,2,64,5,1,2,62,1,2,1,0,Matches
158,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,18,2001,1.1,90,89,1,1,0,28,2,1,0,0,0,0,65,15,10,5,77,7,0,0,80,0,1,0,1,Matches
159,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,32,1986,4.9,142,131,11,0,1,48,0,2,0,0,0,0,61,56,25,85,20,14,0,8,103,0,1,4,6,Matches
160,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Norwich City,21,1998,20.4,1128,1096,32,23,1,185,45,3,0,0,0,0,895,113,120,108,962,33,9,2,1015,1,17,17,10,Matches
161,André Gomes\Andre-Gomes,pt POR,MF,Everton,26,1993,8.8,460,445,15,8,0,71,37,5,0,0,0,0,309,63,88,124,312,16,2,2,384,2,15,9,10,Matches
162,Angel Gomes\Angel-Gomes,eng ENG,MF,Manchester Utd,18,2000,0.2,13,13,0,0,1,0,1,0,0,0,0,0,10,0,3,0,13,0,0,0,11,0,2,0,0,Matches
163,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,22,1997,14.2,1251,1225,26,19,0,142,36,7,0,0,0,0,956,135,160,94,1066,50,7,1,1117,2,11,3,9,Matches
164,Anthony Gordon\Anthony-Gordon,eng ENG,MFFW,Everton,18,2001,0.7,14,13,1,0,0,1,0,0,0,0,0,0,14,0,0,0,14,0,0,0,12,0,0,1,1,Matches
165,Dan Gosling\Dan-Gosling,eng ENG,MF,Bournemouth,29,1990,9.8,359,352,7,3,0,102,4,1,0,0,0,0,228,79,52,29,297,18,1,2,284,1,10,8,16,Matches
166,Andre Gray\Andre-Gray,eng ENG,FW,Watford,28,1991,8.0,143,135,8,0,1,48,1,4,0,0,0,0,90,36,17,30,95,6,0,5,94,0,3,6,14,Matches
167,Demarai Gray\Demarai-Gray,eng ENG,MFFW,Leicester City,23,1996,4.6,193,189,4,2,2,47,2,13,1,0,0,0,154,28,11,16,170,1,1,5,165,2,1,2,9,Matches
168,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,23,1995,25.9,1154,998,156,56,4,288,61,97,59,38,3,8,815,154,185,77,1024,14,24,6,911,5,14,27,39,Matches
169,Mason Greenwood\Mason-Greenwood,eng ENG,FWMF,Manchester Utd,17,2001,7.2,229,227,2,0,0,59,7,9,1,0,0,0,181,24,24,179,42,5,0,0,187,0,4,5,10,Matches
170,Arnaut Groeneveld\Arnaut-Groeneveld,nl NED,MF,Bournemouth,22,1997,4.5,159,158,1,0,0,50,4,6,0,0,0,0,108,34,17,24,125,8,1,0,124,1,3,5,12,Matches
171,Pascal Groß\Pascal-Gross,de GER,MFFW,Brighton,28,1991,16.6,892,787,105,34,2,187,54,117,62,17,24,15,534,140,218,158,698,17,2,4,668,8,13,15,35,Matches
172,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,27.0,837,548,289,69,0,93,25,0,0,0,0,0,236,53,548,67,578,1,1,121,455,4,42,0,0,Matches
173,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Arsenal,20,1999,17.7,1079,1048,31,22,2,216,28,6,1,0,0,0,873,105,101,58,972,33,8,5,958,3,6,17,31,Matches
174,Frederic Guilbert\Frederic-Guilbert,fr FRA,DF,Aston Villa,24,1994,21.1,977,776,201,12,1,133,24,87,1,0,0,0,426,215,336,88,609,66,188,6,655,7,32,17,49,Matches
175,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,28,1990,17.7,1536,1484,52,20,9,304,35,29,22,9,4,2,1168,205,163,400,1077,39,5,2,1389,2,12,20,18,Matches
176,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10.0,256,144,112,33,0,19,9,0,0,0,0,0,58,11,187,8,202,0,0,24,111,0,10,2,0,Matches
177,Sébastien Haller\Sebastien-Haller,fr FRA,FW,West Ham,25,1994,23.9,724,694,30,0,2,304,4,8,0,0,0,0,323,189,212,79,411,57,0,22,488,2,8,20,26,Matches
178,Grant Hanley\Grant-Hanley,sco SCO,DF,Norwich City,27,1991,14.0,639,606,33,33,0,97,21,0,0,0,0,0,464,64,111,66,527,32,0,1,538,2,14,4,6,Matches
179,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,24,1995,11.0,593,557,36,15,0,113,13,0,0,0,0,0,308,105,180,429,52,45,21,1,439,3,16,12,14,Matches
180,Isaac Hayden\Isaac-Hayden,eng ENG,MF,Newcastle Utd,24,1995,21.9,708,661,47,14,3,180,12,36,0,0,0,0,454,103,151,88,521,46,12,5,523,2,13,14,33,Matches
181,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,19.9,614,342,272,76,0,62,17,0,0,0,0,0,210,22,382,28,461,1,0,95,350,2,22,1,0,Matches
182,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,27.0,774,484,290,90,0,62,21,0,0,0,0,0,90,52,632,43,561,0,0,75,305,3,45,0,5,Matches
183,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,29,1990,21.0,1585,1546,39,14,10,244,60,52,1,0,0,0,1025,235,325,169,1323,59,13,3,1333,4,17,12,34,Matches
184,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Burnley,27,1992,21.5,575,548,27,3,0,135,12,31,6,6,0,0,370,78,127,60,461,29,7,6,419,5,16,11,40,Matches
185,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,32,1987,2.0,66,32,34,11,0,3,1,0,0,0,0,0,10,0,56,6,52,0,0,4,32,1,3,0,0,Matches
186,Javier Hernández\Javier-Hernandez,mx MEX,FW,West Ham,31,1988,1.2,22,18,4,0,0,3,0,1,0,0,0,0,17,3,2,6,14,1,0,1,19,0,0,0,1,Matches
187,Onel Hernández\Onel-Hernandez,cu CUB,FWMF,Norwich City,26,1993,8.4,192,186,6,0,1,58,2,18,1,0,0,0,143,30,19,42,143,2,4,1,131,0,1,6,15,Matches
188,Son Heung-min\Son-Heung-min,kr KOR,FW,Tottenham,27,1992,19.4,577,532,45,6,5,151,19,39,18,8,5,1,423,99,55,85,458,10,15,3,473,1,6,7,34,Matches
189,Rob Holding\Rob-Holding,eng ENG,DFFW,Arsenal,23,1995,1.0,43,43,0,0,0,10,2,0,0,0,0,0,34,1,8,10,31,2,0,0,35,0,3,1,0,Matches
190,José Holebas\Jose-Holebas,gr GRE,DF,Watford,35,1984,11.2,589,413,176,17,0,81,31,66,35,12,16,5,249,129,211,366,48,31,124,0,422,1,11,9,11,Matches
191,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,22,1996,19.2,829,798,31,21,0,111,34,2,0,0,0,0,592,92,145,125,634,44,10,0,706,1,19,8,10,Matches
192,Nathan Holland\Nathan-Holland,eng ENG,MF,West Ham,21,1998,0.3,14,13,1,0,0,4,0,2,0,0,0,0,9,4,1,0,13,0,1,0,11,0,0,0,1,Matches
193,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,28,1991,10.5,436,353,83,41,2,60,18,50,24,9,5,0,308,59,69,380,40,7,6,0,347,2,9,7,12,Matches
194,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FW,Chelsea,18,2000,8.6,436,410,26,2,1,133,29,56,17,5,7,0,275,73,88,54,355,16,7,1,351,2,12,7,14,Matches
195,Will Hughes\Will-Hughes,eng ENG,MF,Watford,24,1995,16.8,597,567,30,11,1,117,9,33,18,12,1,2,360,135,102,455,98,28,1,4,432,4,10,18,20,Matches
196,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,23,1995,27.2,1541,1494,47,33,2,321,41,27,1,0,0,0,942,265,334,270,1097,118,9,15,1192,3,50,14,30,Matches
197,Jordon Ibe\Jordon-Ibe,eng ENG,DF,Bournemouth,23,1995,0.5,22,18,4,1,0,4,1,3,1,0,1,0,13,3,6,5,13,2,2,0,17,0,0,0,2,Matches
198,Adam Idah\Adam-Idah,ie IRL,FW,Norwich City,18,2001,0.8,6,6,0,0,0,4,0,0,0,0,0,0,1,4,1,1,4,1,0,0,3,0,0,0,1,Matches
199,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,30,1989,0.3,10,10,0,0,0,3,0,0,0,0,0,0,7,2,1,2,8,0,0,0,9,0,0,0,0,Matches
200,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FW,Leicester City,22,1996,6.5,145,140,5,0,6,48,2,1,0,0,0,0,118,21,6,122,19,2,0,2,119,0,2,5,12,Matches
201,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,27,1992,22.3,441,428,13,0,1,118,11,17,0,0,0,0,218,108,115,55,337,32,0,4,272,6,17,13,24,Matches
202,Alex Iwobi\Alex-Iwobi,ng NGA,MFFW,Everton,23,1996,13.0,448,443,5,1,5,97,17,32,1,0,0,0,306,76,66,49,388,4,0,3,339,3,7,13,26,Matches
203,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,36,1982,1.4,37,36,1,0,0,7,2,1,0,0,0,0,19,6,12,4,28,1,1,0,29,0,3,0,1,Matches
204,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,25,1993,3.2,129,125,4,0,0,18,2,23,1,0,0,0,78,30,21,15,106,4,3,1,78,0,5,3,9,Matches
205,Daniel James\Daniel-James,wal WAL,FW,Manchester Utd,21,1997,24.2,739,726,13,4,3,175,20,88,3,1,1,0,538,110,91,93,626,12,4,1,534,3,18,14,56,Matches
206,Matty James\Matty-James,eng ENG,MF,Leicester City,28,1991,0.1,6,6,0,0,0,2,0,0,0,0,0,0,5,1,0,1,5,0,0,0,6,0,0,0,0,Matches
207,Reece James\Reece-James,eng ENG,DF,Chelsea,19,1999,11.8,871,722,149,22,2,146,21,78,9,4,5,0,541,166,164,59,658,19,118,4,728,1,18,6,28,Matches
208,Daryl Janmaat\Daryl-Janmaat,nl NED,DF,Watford,30,1989,6.8,341,287,54,1,0,64,9,23,0,0,0,0,173,90,78,43,237,8,53,0,257,0,7,4,17,Matches
209,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,22,1997,14.9,402,386,16,0,0,110,3,5,1,0,0,0,295,72,35,49,315,11,4,5,352,1,5,9,13,Matches
210,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,28,1991,27.4,746,714,32,2,6,234,28,15,0,0,0,0,380,224,142,44,590,31,11,36,552,1,15,25,36,Matches
211,Joelinton\Joelinton,br BRA,FW,Newcastle Utd,22,1996,24.9,648,613,35,1,3,267,8,4,0,0,0,0,386,149,113,93,395,52,2,14,521,3,11,7,16,Matches
212,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,18,2001,0.2,23,23,0,0,0,8,0,0,0,0,0,0,21,1,1,4,19,0,0,0,22,0,0,0,0,Matches
213,Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,27,1992,1.5,89,86,3,2,0,22,3,1,0,0,0,0,67,14,8,7,73,3,1,2,79,0,2,1,1,Matches
214,Jorginho\Jorginho,it ITA,MF,Chelsea,27,1991,22.4,1836,1786,50,45,4,389,50,7,0,0,0,0,1259,279,298,106,1672,40,5,5,1606,6,14,19,17,Matches
215,Jota\Jota,es ESP,FWMF,Aston Villa,28,1991,3.5,86,82,4,2,2,23,1,0,0,0,0,0,57,14,15,73,9,2,2,0,66,1,1,2,2,Matches
216,Diogo Jota\Diogo-Jota,pt POR,FWMF,Wolves,22,1996,19.7,655,624,31,0,0,167,18,27,1,0,0,0,438,131,86,207,411,17,4,2,511,4,12,14,41,Matches
217,James Justin\James-Justin,eng ENG,DF,Leicester City,21,1998,2.2,173,135,38,2,0,29,1,5,0,0,0,0,95,49,29,28,98,8,36,0,141,0,2,1,5,Matches
218,Christian Kabasele\Christian-Kabasele,be BEL,DF,Watford,28,1991,17.5,465,457,8,7,0,82,19,0,0,0,0,0,247,80,138,36,374,35,1,1,356,0,11,7,6,Matches
219,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,26,1993,19.8,424,401,23,4,5,138,13,19,0,0,0,0,221,122,81,40,315,20,5,7,284,1,12,11,22,Matches
220,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,28,1991,15.4,859,854,5,4,0,200,11,23,0,0,0,0,620,136,103,119,690,33,0,6,720,5,11,17,30,Matches
221,Moise Kean\Moise-Kean,it ITA,FWMF,Everton,19,2000,7.5,120,115,5,1,1,29,2,10,0,0,0,0,75,31,14,20,86,4,1,7,88,0,2,4,11,Matches
222,Michael Keane\Michael-Keane,eng ENG,DF,Everton,26,1993,19.4,860,826,34,30,1,145,30,0,0,0,0,0,577,114,169,132,615,59,4,3,708,4,23,7,6,Matches
223,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,24,1995,4.1,314,308,6,1,3,57,4,1,2,0,0,0,245,47,22,41,258,11,2,0,285,0,0,7,6,Matches
224,Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,29,1990,17.2,670,542,128,13,0,124,9,20,0,0,0,0,337,144,189,65,448,28,115,1,493,3,16,20,19,Matches
225,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,22,1997,2.0,90,90,0,0,0,14,1,0,0,0,0,0,67,9,14,76,6,4,0,1,72,2,1,1,1,Matches
226,Joshua King\Joshua-King,no NOR,FWMF,Bournemouth,27,1992,16.3,369,362,7,1,1,114,3,19,1,0,0,0,234,79,56,34,293,10,1,5,260,1,7,12,26,Matches
227,Jonathan Kodjia\Jonathan-Kodjia,ci CIV,FWMF,Aston Villa,29,1989,1.2,30,24,6,0,0,7,0,0,0,0,0,0,21,4,5,2,24,1,0,0,19,0,1,1,1,Matches
228,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,26,1993,12.3,652,562,90,1,0,123,10,27,0,0,0,0,412,114,126,443,67,41,89,3,541,3,12,11,18,Matches
229,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,21,1998,13.3,507,474,33,9,0,76,7,2,0,0,0,0,335,61,111,45,388,25,24,5,418,0,13,5,10,Matches
230,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MF,Crystal Palace,29,1989,22.1,652,642,10,6,0,168,4,13,0,0,0,0,425,112,115,55,489,50,4,10,496,1,13,13,24,Matches
231,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,25,1994,18.7,1561,1520,41,36,5,294,71,7,0,0,0,0,1215,188,158,67,1461,20,5,4,1402,3,11,23,17,Matches
232,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,24,1994,6.3,226,174,52,3,0,31,2,13,0,0,0,0,118,46,62,18,153,4,49,1,160,3,3,8,12,Matches
233,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,31,1988,27.0,1095,788,307,80,0,195,31,0,0,0,0,0,468,103,524,687,215,1,1,136,718,1,34,5,4,Matches
234,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,28,1991,14.6,354,327,27,0,4,95,5,14,0,0,0,0,233,77,44,53,287,5,0,4,270,0,11,8,18,Matches
235,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,31,1988,4.1,270,268,2,1,0,48,4,3,0,0,0,0,204,38,28,77,170,13,1,3,229,2,0,4,9,Matches
236,Érik Lamela\Erik-Lamela,ar ARG,MFFW,Tottenham,27,1992,10.4,472,424,48,8,1,117,21,44,36,24,7,1,336,61,75,412,45,10,1,4,364,2,5,13,17,Matches
237,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Chelsea,18,2000,0.3,14,9,5,0,1,0,0,2,0,0,0,0,5,4,5,4,5,0,5,0,12,0,0,0,2,Matches
238,Henri Lansbury\Henri-Lansbury,eng ENG,MF,Aston Villa,28,1990,2.1,81,80,1,0,0,15,6,1,0,0,0,0,46,15,20,7,62,10,0,1,60,0,3,1,3,Matches
239,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,26,1993,13.2,707,648,59,17,3,143,29,39,31,16,11,1,512,105,90,79,601,14,2,8,594,3,11,15,12,Matches
240,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,25,1994,5.6,497,483,14,10,0,89,14,0,0,0,0,0,399,48,50,363,95,22,4,4,465,0,1,0,5,Matches
241,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,25,1993,18.1,561,550,11,11,1,90,14,0,0,0,0,0,379,62,120,91,387,60,0,1,460,4,4,7,7,Matches
242,Valentino Lazaro\Valentino-Lazaro,at AUT,DF,Newcastle Utd,23,1996,2.4,110,87,23,4,0,19,4,12,11,1,4,5,60,23,27,11,84,4,8,1,86,1,1,3,2,Matches
243,Moritz Leitner\Moritz-Leitner,de GER,MF,Norwich City,26,1992,7.6,553,527,26,20,2,96,15,5,1,1,0,0,434,60,59,88,449,5,4,3,472,5,7,7,13,Matches
244,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,28,1991,4.9,187,169,18,6,0,41,8,2,0,0,0,0,106,23,58,40,120,7,12,0,136,0,7,3,2,Matches
245,Aaron Lennon\Aaron-Lennon,eng ENG,MF,Burnley,32,1987,5.4,131,129,2,0,0,32,5,8,1,1,0,0,91,21,19,11,112,4,1,0,92,0,3,2,10,Matches
246,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,28.0,928,631,297,56,0,123,18,0,0,0,0,0,572,45,311,149,581,4,0,168,694,2,20,3,1,Matches
