Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,1,28,28,2520,36,1.29,136,102,.772,9,13,6,7,25.0,6,5,1,0
Aston Villa,4,28,28,2520,56,2.00,148,96,.649,7,4,17,4,14.3,5,4,1,0
Bournemouth,2,29,29,2610,47,1.62,142,99,.697,7,6,16,4,13.8,4,4,0,0
Brighton,1,29,29,2610,40,1.38,127,92,.701,6,11,12,6,20.7,2,2,0,0
Burnley,1,29,29,2610,40,1.38,120,82,.692,11,6,12,11,37.9,4,3,1,0
Chelsea,2,29,29,2610,39,1.34,86,52,.570,14,6,9,6,20.7,2,2,0,0
Crystal Palace,2,29,29,2610,32,1.10,127,96,.748,10,9,10,9,31.0,1,0,0,1
Everton,1,29,29,2610,46,1.59,118,75,.619,10,7,12,6,20.7,1,1,0,0
Leicester City,1,29,29,2610,28,0.97,104,81,.779,16,5,8,10,34.5,6,5,1,0
Liverpool,2,29,29,2607,21,0.72,84,62,.750,27,1,1,12,41.4,0,0,0,0
Manchester City,2,28,28,2517,31,1.11,86,56,.663,18,3,7,10,35.7,2,2,0,0
Manchester Utd,1,29,29,2610,30,1.03,101,72,.713,12,9,8,8,27.6,1,1,0,0
Newcastle Utd,1,29,29,2610,41,1.41,152,111,.730,9,8,12,9,31.0,0,0,0,0
Norwich City,3,29,29,2610,52,1.79,144,95,.667,5,6,18,5,17.2,7,4,3,0
Sheffield Utd,2,28,28,2520,25,0.89,96,71,.740,11,10,7,10,35.7,2,0,1,1
Southampton,2,29,29,2610,52,1.79,136,87,.640,10,4,15,6,20.7,4,3,1,0
Tottenham,2,29,29,2610,40,1.38,138,102,.739,11,8,10,4,13.8,6,4,2,0
Watford,1,29,29,2610,44,1.52,121,82,.686,6,9,14,9,31.0,6,6,0,0
West Ham,4,29,29,2610,50,1.72,142,98,.676,7,6,16,6,20.7,5,4,1,0
Wolves,1,29,29,2610,34,1.17,102,68,.667,10,13,6,8,27.6,2,0,2,0