Squad,# Pl,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,27,65,3,1,307,325,53,540,242,292,1,5,0,2317,357,435,45.1
Aston Villa,28,55,1,1,327,368,50,582,312,311,2,5,1,2526,487,542,47.3
Bournemouth,25,61,3,2,269,296,48,473,387,261,1,3,0,2762,568,617,47.9
Brighton,24,47,2,1,288,242,53,533,308,326,1,2,2,2794,519,427,54.9
Burnley,21,58,0,0,323,286,68,571,296,269,1,4,1,2754,719,679,51.4
Chelsea,26,53,0,0,291,299,51,642,356,371,4,2,3,2867,494,489,50.3
Crystal Palace,24,48,1,0,317,361,44,432,342,334,2,1,2,2663,567,568,50.0
Everton,23,59,3,3,346,297,48,670,315,331,0,1,2,2815,639,660,49.2
Leicester City,21,33,1,1,308,340,53,573,329,368,6,6,0,2597,501,439,53.3
Liverpool,23,26,1,0,242,220,42,675,260,302,4,0,0,3014,490,437,52.9
Manchester City,22,55,3,2,283,215,50,721,267,275,6,2,1,2587,383,350,52.3
Manchester Utd,28,56,0,0,320,333,39,503,278,287,9,1,1,2750,459,392,53.9
Newcastle Utd,27,52,3,0,276,313,62,448,311,296,0,0,1,2545,572,574,49.9
Norwich City,26,53,1,0,279,333,35,372,305,341,1,7,2,2571,405,485,45.5
Sheffield Utd,22,51,1,0,303,208,61,654,321,303,1,2,0,2769,650,655,49.8
Southampton,23,44,3,1,355,280,45,531,285,379,2,4,0,3044,607,692,46.7
Tottenham,29,65,3,1,296,322,52,486,265,358,4,6,2,2772,468,476,49.6
Watford,25,65,3,2,350,239,53,479,314,345,4,6,3,2818,584,578,50.3
West Ham,28,55,1,1,300,261,59,556,330,366,3,5,2,2712,601,602,50.0
Wolves,20,49,2,2,316,271,40,558,336,341,3,2,1,2727,554,527,51.2