Squad,# Pl,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Arsenal,27,15087,13651,1436,367,26,2905,400,540,175,51,56,29,10472,2174,2441,4873,8809,411,589,224,12516,43,225,213,394
Aston Villa,28,11700,10235,1465,396,16,2236,437,582,142,78,20,11,6846,1930,2924,4096,5981,512,585,197,8851,49,270,186,320
Bournemouth,25,12442,11044,1398,352,35,2488,281,473,138,61,38,15,7150,2253,3039,3663,6916,685,589,204,9380,39,291,206,386
Brighton,24,15980,14574,1406,299,24,3007,515,533,129,46,49,24,10075,2777,3128,3234,10792,625,710,279,12959,49,281,271,406
Burnley,21,10503,9077,1426,323,18,2227,361,571,138,125,2,4,5000,1857,3646,3292,5257,580,673,186,7205,61,295,149,336
Chelsea,26,18433,16985,1448,317,32,3560,573,642,199,69,67,17,12770,2613,3050,3279,13450,536,689,191,15462,49,244,216,398
Crystal Palace,24,11967,10471,1496,389,11,2518,324,432,138,83,39,7,7081,1964,2922,2819,7351,502,665,208,9061,41,261,224,342
Everton,23,13080,11593,1487,360,32,2364,466,670,175,74,72,16,7600,2346,3134,3642,7492,610,677,202,9982,38,298,230,426
Leicester City,21,15846,14377,1469,374,53,2671,420,573,168,44,77,14,10624,2435,2787,3578,10595,514,674,203,12993,46,272,231,385
Liverpool,23,18898,17467,1431,333,69,3074,660,675,190,48,87,8,12534,2801,3563,4233,12820,654,664,203,15648,41,297,250,427
Manchester City,22,19977,18782,1195,256,76,3418,584,721,231,73,52,24,15004,2545,2428,7016,11471,516,529,206,17404,47,205,273,417
Manchester Utd,28,15496,14064,1432,368,34,2961,441,503,153,60,49,14,10865,2144,2487,4175,9745,455,659,200,12651,37,252,268,432
Newcastle Utd,27,10438,9068,1370,354,19,2213,388,448,115,43,45,10,5732,1601,3105,3032,5748,536,561,144,7588,57,226,192,296
Norwich City,26,14176,12752,1424,361,33,3002,358,372,134,59,64,3,9363,2323,2490,3992,8587,496,605,221,11373,31,256,238,349
Sheffield Utd,22,12219,10867,1352,257,17,2514,477,654,166,114,18,11,6508,2218,3493,3897,6338,696,671,143,8961,56,337,170,372
Southampton,23,12371,10860,1511,331,20,2469,353,531,160,69,59,23,6655,2196,3520,2209,7966,829,739,169,8971,41,322,190,333
Tottenham,29,15193,13791,1402,355,40,2693,371,486,144,61,42,13,10147,2279,2767,4050,9455,556,613,180,12182,48,191,260,360
Watford,25,11969,10634,1335,293,19,2191,358,479,133,52,41,19,6484,2246,3239,2968,7147,629,603,156,8786,47,236,203,322
West Ham,28,12646,11232,1414,337,29,2557,354,556,147,62,52,23,7077,2187,3382,3655,7123,584,635,174,9497,51,224,215,400
Wolves,20,13306,11951,1355,302,27,2440,541,558,153,29,65,12,7449,2526,3331,2877,8596,638,614,184,10396,38,252,223,352