Squad,# Pl,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Arsenal,27,12516,15087,83.0,244219,72805,173,524,33.0,9308,10336,90.1,3035,4227,71.8,27,36.3,-9.3,230,873,246,54,1147
Aston Villa,28,8851,11700,75.6,184947,64900,157,466,33.7,6241,7301,85.5,2453,3933,62.4,27,31.1,-4.1,267,677,217,73,1021
Bournemouth,25,9380,12442,75.4,183981,66538,185,560,33.0,6985,8219,85.0,2210,3663,60.3,18,32.5,-14.5,206,684,200,39,1066
Brighton,24,12959,15980,81.1,260784,84562,168,542,31.0,9518,10785,88.3,3273,4653,70.3,19,34.2,-15.2,271,894,255,68,1326
Burnley,21,7205,10503,68.6,149222,59744,168,497,33.8,5060,6177,81.9,1977,3829,51.6,23,33.3,-10.3,197,582,146,58,916
Chelsea,26,15462,18433,83.9,300169,85523,282,628,44.9,11490,12830,89.6,3690,4975,74.2,35,50.3,-15.3,353,1075,331,75,1425
Crystal Palace,24,9061,11967,75.7,176916,67990,210,522,40.2,6727,7876,85.4,2124,3569,59.5,17,28.2,-11.2,197,634,190,34,1055
Everton,23,9982,13080,76.3,211424,77134,133,509,26.1,7049,8276,85.2,2800,4295,65.2,26,41.5,-15.5,255,811,242,64,1333
Leicester City,21,12993,15846,82.0,250085,78396,201,553,36.3,9819,11033,89.0,2973,4260,69.8,41,47.2,-6.2,296,905,245,52,1273
Liverpool,23,15648,18898,82.8,319827,94519,214,587,36.5,11257,12565,89.6,4177,5746,72.7,53,56.2,-3.2,334,1271,369,74,1609
Manchester City,22,17404,19977,87.1,336753,91323,211,585,36.1,13093,14316,91.5,4100,5076,80.8,52,65.3,-13.3,401,1406,435,76,1674
Manchester Utd,28,12651,15496,81.6,233924,72179,205,594,34.5,9825,11096,88.5,2621,3806,68.9,28,44.3,-16.3,311,979,248,41,1310
Newcastle Utd,27,7588,10438,72.7,156900,61598,146,434,33.6,5460,6503,84.0,1982,3501,56.6,17,25.3,-8.3,218,586,151,54,872
Norwich City,26,11373,14176,80.2,208776,68284,247,590,41.9,8753,9880,88.6,2373,3706,64.0,17,33.8,-16.8,244,682,193,34,952
Sheffield Utd,22,8961,12219,73.3,180868,63399,185,544,34.0,6551,7707,85.0,2225,3968,56.1,18,33.9,-15.9,211,739,234,66,1090
Southampton,23,8971,12371,72.5,173160,63553,179,495,36.2,6779,8184,82.8,2013,3692,54.5,20,39.8,-19.8,252,721,220,55,1129
Tottenham,29,12182,15193,80.2,234551,71747,189,526,35.9,9231,10424,88.6,2762,4243,65.1,30,38.5,-8.5,262,891,235,42,1178
Watford,25,8786,11969,73.4,172984,64788,202,506,39.9,6473,7713,83.9,2111,3750,56.3,18,34.1,-16.1,230,709,197,60,1028
West Ham,28,9497,12646,75.1,183362,69311,221,602,36.7,7055,8328,84.7,2221,3716,59.8,26,33.1,-7.1,230,754,196,62,1080
Wolves,20,10396,13306,78.1,220844,73275,147,474,31.0,7259,8469,85.7,2990,4363,68.5,27,38.9,-11.9,260,787,180,62,1095