Squad,# Pl,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos
Arsenal,27,18420,2184,6451,8733,4488,751,17038,328,548,59.9,350,25,12671,74885,42600,14434,12516,86.7,342,358
Aston Villa,28,15200,2141,5713,6392,4092,618,13787,299,472,63.3,326,20,8984,58572,31306,10810,8851,81.9,321,339
Bournemouth,25,16165,2234,6317,6772,3990,614,14798,266,482,55.2,295,18,9581,57596,30342,11505,9380,81.5,390,334
Brighton,24,19490,2153,6884,8768,5067,739,18120,274,464,59.1,287,16,12983,75546,38965,15227,12959,85.1,373,403
Burnley,21,14013,1762,4426,6595,3664,500,12604,226,396,57.1,245,17,7432,42068,20483,9515,7205,75.7,313,285
Chelsea,26,22097,1863,6704,10725,6037,924,20687,382,587,65.1,411,8,15647,85016,46060,17766,15462,87.0,381,376
Crystal Palace,24,15759,1932,5666,7130,3845,706,14281,354,577,61.4,374,17,9333,55158,29461,11127,9061,81.4,385,409
Everton,23,16709,1917,5496,7589,4607,740,15251,303,489,62.0,330,22,9991,60381,31955,12234,9982,81.6,388,371
Leicester City,21,19525,1857,6224,9311,5127,791,18110,332,553,60.0,359,17,12803,71610,39525,15054,12993,86.3,356,380
Liverpool,23,22267,1766,5878,11402,6323,1000,20856,341,548,62.2,378,24,15118,78355,43048,18145,15648,86.2,355,341
Manchester City,22,22918,1586,5243,11785,7486,1216,21744,392,601,65.2,409,14,16438,94029,56563,19310,17404,90.1,238,311
Manchester Utd,28,19039,1761,5619,9245,5472,730,17628,371,614,60.4,397,32,12861,79043,45498,14692,12651,86.1,350,379
Newcastle Utd,27,14008,1965,5674,5733,3356,454,12680,344,541,63.6,367,14,7946,48296,26207,9676,7588,78.4,360,324
Norwich City,26,17983,2476,7095,7753,4268,638,16610,365,597,61.1,391,25,11370,67706,37151,13454,11373,84.5,371,370
Sheffield Utd,22,15572,1712,4762,6671,4887,654,14246,285,421,67.7,300,17,9125,48491,24421,11347,8961,79.0,315,282
Southampton,23,16381,1680,4929,7810,4511,653,14889,353,578,61.1,380,16,9092,54073,28664,11375,8971,78.9,419,336
Tottenham,29,18857,2091,6133,9149,4692,648,17496,374,654,57.2,407,30,12257,68924,37355,14440,12182,84.4,305,375
Watford,25,15536,1769,4983,7177,4181,668,14222,286,492,58.1,306,12,9163,50668,27915,11043,8786,79.6,333,303
West Ham,28,16044,1760,4934,7819,4221,634,14654,334,521,64.1,352,15,9677,59056,30799,11854,9497,80.1,320,316
Wolves,20,16836,1654,5499,8119,4201,690,15503,412,653,63.1,447,27,10815,63861,37736,12502,10396,83.2,353,346