Squad,# Pl,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,27,40,2,2,312,104,13,33.3,11.14,3.71,0.12,0.37,36.3,34.8,0.11,+3.7,+3.2
Aston Villa,28,33,1,3,343,112,11,32.7,12.25,4.00,0.09,0.29,31.1,28.7,0.09,+1.9,+3.3
Bournemouth,25,28,1,1,296,95,17,32.1,10.21,3.28,0.09,0.28,32.5,31.8,0.11,-4.5,-4.8
Brighton,24,28,1,1,373,116,10,31.1,12.86,4.00,0.07,0.23,34.2,33.4,0.09,-6.2,-6.4
Burnley,21,33,2,2,300,96,15,32.0,10.34,3.31,0.10,0.32,33.3,31.7,0.11,-0.3,-0.7
Chelsea,26,51,4,4,482,162,19,33.6,16.62,5.59,0.10,0.29,50.3,47.3,0.10,+0.7,-0.3
Crystal Palace,24,24,3,3,287,90,9,31.4,9.90,3.10,0.07,0.23,28.2,26.0,0.09,-4.2,-5.0
Everton,23,35,0,0,383,129,16,33.7,13.21,4.45,0.09,0.27,41.5,41.5,0.11,-6.5,-6.5
Leicester City,21,56,5,7,406,145,14,35.7,14.00,5.00,0.13,0.35,47.2,41.8,0.11,+8.8,+9.2
Liverpool,23,64,5,5,451,167,10,37.0,15.55,5.76,0.13,0.35,56.2,52.4,0.12,+7.8,+6.6
Manchester City,22,68,3,7,537,178,18,33.1,19.18,6.36,0.12,0.37,65.3,60.1,0.12,+2.7,+4.9
Manchester Utd,28,43,6,10,427,153,26,35.8,14.72,5.28,0.09,0.24,44.3,36.7,0.09,-1.3,+0.3
Newcastle Utd,27,25,0,1,299,92,11,30.8,10.31,3.17,0.08,0.27,25.3,24.5,0.09,-0.3,+0.5
Norwich City,26,24,2,2,337,107,12,31.8,11.62,3.69,0.07,0.21,33.8,32.4,0.10,-9.8,-10.4
Sheffield Utd,22,27,1,1,289,88,4,30.4,10.32,3.14,0.09,0.30,33.9,33.1,0.12,-6.9,-7.1
Southampton,23,35,1,2,374,125,18,33.4,12.90,4.31,0.09,0.27,39.8,38.1,0.11,-4.8,-4.1
Tottenham,29,45,3,4,351,125,14,35.6,12.10,4.31,0.12,0.34,38.5,35.4,0.10,+6.5,+6.6
Watford,25,27,4,5,328,89,14,27.1,11.31,3.07,0.07,0.26,34.1,30.4,0.10,-7.1,-7.4
West Ham,28,35,3,3,301,125,10,41.5,10.38,4.31,0.11,0.26,33.1,30.8,0.11,+1.9,+1.2
Wolves,20,39,3,3,367,112,10,30.5,12.66,3.86,0.10,0.32,38.9,36.7,0.10,+0.1,-0.7